COD_LOCAL;PROVINCIA;MUNICIPIO;ESTACION;COD_ESTACION_DEM;N_RED;NOMBRE;FECHA_INI;FECHA_FIN;LONGITUD_G;LATITUD_G;ALTITUD;N_CCAA;N_PROVINCIA;N_MUNICIPIO;TIPO_ESTACION;TIPO_AREA;TIPO_SUBAREA_RURAL;EST;ZONA;DIRECCION
4022001;4;22;1;ES1996A;CCAA Andalucía;BÉDAR;10/02/2011;;-1.9854;37.19342;380;ANDALUCÍA;ALMERÍA;BÉDAR;FONDO;RURAL;;UF;RESIDENCIAL;PARQUE EUROPA ,TXURDINAGA (BILBAO)
4024001;4;24;1;ES1785A;CCAA Andalucía;BENAHADUX;11/07/2005;;-2.46322;36.9231;148;ANDALUCÍA;ALMERÍA;BENAHADUX;INDUSTRIAL;URBANA;CERCA DE UNA CIUDAD;RF;RESIDENCIAL/COMERCIAL/INDUSTRIAL;RESERVA DEL URDAIBAI
4066004;4;66;4;ES0625A;CCAA Andalucía;CAMPOHERMOSO;01/01/1985;13/07/2015;-2.12819;36.93385;152;ANDALUCÍA;ALMERÍA;NÍJAR;INDUSTRIAL;SUBURBANA;;UI;RESIDENCIAL/INDUSTRIAL;C/SAN ROQUE  20,BAJO (DURANGO)
4032002;4;32;2;ES0620A;CCAA Andalucía;CARBONERAS;01/01/1985;22/07/2015;-1.89201;36.99945;11;ANDALUCÍA;ALMERÍA;CARBONERAS;INDUSTRIAL;URBANA;;ST;RESIDENCIAL;C/GABRIEL CELAYA 8, ELCIEGO
4013005;4;13;5;ES1786A;CCAA Andalucía;EL BOTICARIO;08/06/2005;;-2.3905;36.86495;55;ANDALUCÍA;ALMERÍA;ALMERÍA;FONDO;SUBURBANA;REGIONAL;RI;AGRICOLA/NATURALEZA;LUGAR DE FRAGA REDONDA, AS PONTES
4902001;4;902;1;ES1549A;CCAA Andalucía;EL EJIDO;23/06/2000;;-2.81097;36.76972;97;ANDALUCÍA;ALMERÍA;EJIDO (EL);FONDO;URBANA;REGIONAL;RI;MONTAÑA;CTRA. MURAS A SANTA Mª DE AMBOSORES
4066008;4;66;8;ES2026A;CCAA Andalucía;FERNÁN PÉREZ;28/05/2012;;-2.04672;36.8951;239;ANDALUCÍA;ALMERÍA;NÍJAR;INDUSTRIAL;RURAL;;SI;RESIDENCIAL/COMERCIAL/INDUSTRIAL;RUA MAÑÓN (RESIDENCIA ENDESA)
4066007;4;66;7;ES1835A;CCAA Andalucía;LA JOYA;22/05/2006;;-1.96148;36.95;51;ANDALUCÍA;ALMERÍA;NÍJAR;INDUSTRIAL;RURAL;REGIONAL;RI;NATURALEZA;PARROQUIA DE SAN XIAO DE MOURENCE, VILALBA
4013004;4;13;4;ES1393A;CCAA Andalucía;MEDITERRÁNEO;01/10/1994;;-2.44672;36.84133;51;ANDALUCÍA;ALMERÍA;ALMERÍA;TRAFICO;URBANA;REMOTA;RFREM;AGRICOLA;PARROQUIA DE BUGALLA, MONTE A TRAVESA
4064001;4;64;1;ES2040A;CCAA Andalucía;MOJÁCAR;01/08/2013;;-1.8422;37.1388;76;ANDALUCÍA;ALMERÍA;MOJÁCAR;FONDO;RURAL;DESCONOCIDO;SF;MAR(CERCA);INSTITUTO ANXEL CASAL, CALLE LAGOAS
4035002;4;35;2;ES1547A;CCAA Andalucía;PALOMARES;01/09/2000;;-1.78174;37.25497;11;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;INDUSTRIAL;RURAL;DESCONOCIDO;SF;MONTAÑA;CENTRO DE INNOVACIÓN E SERVIZOS DE GALICIA, A CABANA
4032005;4;32;5;ES1845A;CCAA Andalucía;PZA. DEL CASTILLO;20/07/2005;;-1.89535;36.99678;5;ANDALUCÍA;ALMERÍA;CARBONERAS;INDUSTRIAL;URBANA;;UF;PARQUE;C/ JOSÉ MARÍA NUÑEZ S/N DETRÁS FACULTAD FÍSICAS
