Provincia;Cantidad
A Coruña;6
Álava;8
Albacete ;1
Alicante;12
Almería;0
Asturias;5
Ávila;1
Badajoz;0
Barcelona ;24
Burgos;6
Cáceres;0
Cádiz;0
Cantabria;12
Castellón;23
Ceuta;0
Ciudad Real;5
Córdoba;0
Cuenca;1
Gerona;1
Granada;0
Guadalajara;2
Guipúzcoa;14
Huelva;0
Huesca;3
Islas Baleares ;17
Jaén;0
La Rioja;5
Las Palmas;20
León;5
Lérida;1
Lugo;4
Madrid;26
Málaga;0
Melilla;0
Murcia;8
Navarra;9
Ourense;2
Palencia;2
Pontevedra;4
Salamanca;3
Santa Cruz de Tenerife;30
Segovia;1
Sevilla;0
Soria;2
Tarragona;6
Teruel;1
Toledo;3
Valencia;26
Valladolid;6
Vizcaya;29
Zamora;1
Zaragoza;2
Total;337
